US_title,last_,max_,_min,_stdev
J9613,0.0333,0.1694,-0.1219,0.013445
J9984,-0.0273,0.1694,-0.1219,0.019698
J7186,-0.0052,0.1694,-0.1219,0.006244
J8303,-0.0514,0.1694,-0.1219,0.005892
J8304,-0.001,0.1694,-0.1219,0.007301
J8306,-0.0083,0.1694,-0.1219,0.006406
J8308,0.0,0.1694,-0.1219,0.010664
J8309,0.0,0.1694,-0.1219,0.003833
J8316,-0.0129,0.1694,-0.1219,0.006511
J8331,0.0035,0.1694,-0.1219,0.007948
J8354,-0.0021,0.1694,-0.1219,0.009262
J8355,-0.0104,0.1694,-0.1219,0.001914
J8411,0.0007,0.1694,-0.1219,0.008451
J8253,-0.0008,0.1694,-0.1219,0.00685
J8697,-0.0711,0.1694,-0.1219,0.008832
J8601,-0.0361,0.1694,-0.1219,0.012377
J8604,-0.0302,0.1694,-0.1219,0.005948
J8628,0.0061,0.1694,-0.1219,0.006131
J8630,-0.0146,0.1694,-0.1219,0.005186
J8725,-0.0348,0.1694,-0.1219,0.002447
J8750,-0.0006,0.1694,-0.1219,0.010704
J8766,-0.0542,0.1694,-0.1219,0.003731
J8795,-0.0244,0.1694,-0.1219,0.006216
J1332,0.0114,0.1694,-0.1219,0.004188
J1333,0.0143,0.1694,-0.1219,0.003365
J2002,0.0602,0.1694,-0.1219,0.006355
J2269,0.0085,0.1694,-0.1219,0.002905
J2282,0.062,0.1694,-0.1219,0.008226
J2501,0.0395,0.1694,-0.1219,0.005355
J2502,-0.0111,0.1694,-0.1219,0.007193
J2503,-0.0402,0.1694,-0.1219,0.00558
J2531,0.0501,0.1694,-0.1219,0.025543
J2801,-0.0293,0.1694,-0.1219,0.006716
J2802,-0.0627,0.1694,-0.1219,0.026074
J2871,0.0185,0.1694,-0.1219,0.015759
J2914,0.0195,0.1694,-0.1219,0.002988
J3086,0.0576,0.1694,-0.1219,0.014916
J3099,0.0875,0.1694,-0.1219,0.015712
J3382,0.0091,0.1694,-0.1219,0.003284
J8028,0.0,0.1694,-0.1219,0.0
J8233,0.0862,0.1694,-0.1219,0.01338
J8252,0.0826,0.1694,-0.1219,0.012044
J8267,0.0118,0.1694,-0.1219,0.00705
J9983,-0.0034,0.1694,-0.1219,0.007853
J2413,-0.0879,0.1694,-0.1329,0.019444
J2432,0.0419,0.1694,-0.1329,0.015449
J4324,0.0974,0.1694,-0.1329,0.013112
J4689,-0.0129,0.1694,-0.1329,0.019899
J4704,-0.0035,0.1694,-0.1329,0.003533
J4751,-0.0932,0.1694,-0.1329,0.01158
J4755,0.0664,0.1694,-0.1329,0.014152
J6098,0.0056,0.1694,-0.1329,0.010594
J6178,0.0072,0.1694,-0.1329,0.002351
J9602,0.0151,0.1694,-0.1329,0.004271
J9735,-0.0042,0.1694,-0.1329,0.003946
J9766,0.0045,0.1694,-0.1329,0.013997
J1605,-0.0177,0.1694,-0.1329,0.007128
J3101,-0.0179,0.1694,-0.1329,0.003536
J3103,-0.0227,0.1694,-0.1329,0.008451
J3401,0.0041,0.1694,-0.1329,0.009693
J3402,-0.014,0.1694,-0.1329,0.010962
J3861,0.0109,0.1694,-0.1329,0.01091
J3863,0.0637,0.1694,-0.1329,0.01471
J3405,0.0298,0.1694,-0.1329,0.008144
J3407,0.0446,0.1694,-0.1329,0.009624
J4004,0.0839,0.1694,-0.1329,0.020661
J4005,0.0888,0.1694,-0.1329,0.017002
J4021,0.0185,0.1694,-0.1329,0.005893
J4042,0.0147,0.1694,-0.1329,0.023512
J4043,0.051,0.1694,-0.1329,0.018625
J4061,0.0049,0.1694,-0.1329,0.01292
J4063,-0.0476,0.1694,-0.1329,0.006484
J4183,0.0784,0.1694,-0.1329,0.026279
J4188,0.025,0.1694,-0.1329,0.009365
