js_title,last_,max_,_min,_stdev
J4452,-0.0252,0.3555,-0.197,0.006054
J4540,0.114,0.3555,-0.197,0.011367
J8218,0.0265,0.3555,-0.197,0.018729
J8252,0.0503,0.3555,-0.197,0.01288
J6235,0.161,0.3555,-0.197,0.042911
J7741,-0.0627,0.3555,-0.197,0.010035
J1820,0.1849,0.3555,-0.197,0.008223
J2602,-0.0081,0.3555,-0.197,0.00522
J9433,0.0815,0.3555,-0.197,0.01034
J9039,-0.0504,0.3555,-0.197,0.0077
J8032,0.0084,0.3555,-0.197,0.006544
J4553,0.0438,0.3555,-0.197,0.01227
J7516,-0.0816,0.3555,-0.197,0.007619
J8282,0.0223,0.3555,-0.197,0.006745
J1878,0.041,0.3555,-0.197,0.012006
J4063,0.0883,0.3555,-0.197,0.00872
J9509,0.1838,0.3555,-0.197,0.022908
J1961,0.051,0.3555,-0.197,0.003623
J4967,-0.0792,0.3555,-0.197,0.009608
J4206,-0.0124,0.3555,-0.197,0.006262
J8876,0.0265,0.3555,-0.197,0.010985
J4503,0.1313,0.3555,-0.197,0.011718
J8066,0.0089,0.3555,-0.197,0.011916
J7180,-0.021,0.3555,-0.197,0.010835
J8355,0.0079,0.3555,-0.197,0.005459
J2267,0.0528,0.3555,-0.197,0.010488
J3050,-0.0799,0.3555,-0.197,0.008061
J2001,0.0165,0.3555,-0.197,0.007943
J3289,0.0821,0.3555,-0.197,0.011042
J1879,0.0456,0.3555,-0.197,0.011759
J2670,0.057,0.3555,-0.197,0.013877
J6395,0.1464,0.3555,-0.197,0.027333
J2815,-0.0697,0.3555,-0.197,0.006243
J9302,0.02,0.3555,-0.197,0.007221
J8566,0.033,0.3555,-0.197,0.00385
J1802,0.0318,0.3555,-0.197,0.011003
J4628,-0.0117,0.3555,-0.197,0.002493
J1951,-0.0281,0.3555,-0.197,0.008732
J1959,-0.0242,0.3555,-0.197,0.00447
J8015,0.0418,0.3555,-0.197,0.01814
J2292,0.0239,0.3555,-0.197,0.009131
J7864,-0.0616,0.3555,-0.197,0.00396
J4732,0.0231,0.3555,-0.197,0.004773
J7012,0.0506,0.3555,-0.197,0.022649
J2809,0.0267,0.3555,-0.197,0.006991
J9301,0.0465,0.3555,-0.197,0.008057
J3861,0.0937,0.3555,-0.197,0.008189
J7167,0.0098,0.3555,-0.197,0.005246
J4471,-0.0779,0.3555,-0.197,0.007264
J1861,0.0343,0.3555,-0.197,0.006432
J6367,0.0325,0.3555,-0.197,0.007771
J3659,0.0582,0.3555,-0.197,0.024783
J6952,0.0055,0.3555,-0.197,0.010121
J6703,0.1883,0.3555,-0.197,0.010904
J9605,0.0837,0.3555,-0.197,0.018381
J9048,0.0153,0.3555,-0.197,0.007645
J6674,0.0988,0.3555,-0.197,0.010881
J2502,0.0051,0.3555,-0.197,0.009598
J6981,0.2157,0.3555,-0.197,0.012552
J8074,-0.006,0.3555,-0.197,0.012356
J9375,-0.0027,0.3555,-0.197,0.010172
J1824,-0.0077,0.3555,-0.197,0.007796
J8078,0.0098,0.3555,-0.197,0.006695
J4403,-0.0436,0.3555,-0.197,0.004364
J4849,-0.0142,0.3555,-0.197,0.009785
J9076,-0.0546,0.3555,-0.197,0.005911
J4507,0.0442,0.3555,-0.197,0.00604
J3132,0.1898,0.3555,-0.197,0.042396
J8098,0.0403,0.3555,-0.197,0.010496
J7701,0.0627,0.3555,-0.197,0.007046
J5351,0.0797,0.3555,-0.197,0.016235
J7832,0.0519,0.3555,-0.197,0.013274
J1881,-0.0263,0.3555,-0.197,0.003498
J6448,0.1338,0.3555,-0.197,0.006945
J4694,0.1527,0.3555,-0.197,0.013199
J8020,0.0375,0.3555,-0.197,0.005938
J9001,-0.0202,0.3555,-0.197,0.007548
J9022,0.0521,0.3555,-0.197,0.005387
J5233,0.019,0.3555,-0.197,0.00969
J1720,0.0542,0.3555,-0.197,0.006257
J6098,0.1025,0.3555,-0.197,0.007313
J9045,-0.0031,0.3555,-0.197,0.01208
J4061,0.0331,0.3555,-0.197,0.011049
J7451,0.001,0.3555,-0.197,0.006463
J7984,-0.0661,0.3555,-0.197,0.007991
J7846,0.0066,0.3555,-0.197,0.005979
J4186,0.0535,0.3555,-0.197,0.019141
J6857,0.1965,0.3555,-0.197,0.01636
J6762,0.2001,0.3555,-0.197,0.010798
J5302,0.011,0.3555,-0.197,0.008044
J6340,-0.0306,0.3555,-0.197,0.011582
J5393,0.0153,0.3555,-0.197,0.010409
J6869,0.0745,0.3555,-0.197,0.004842
J4612,-0.141,0.3555,-0.241,0.020103
J9008,0.0171,0.3555,-0.241,0.022047
J6465,-0.0159,0.3555,-0.241,0.007831
J9009,0.0411,0.3555,-0.241,0.012681
J3738,0.0083,0.3555,-0.241,0.009074
J5352,0.1722,0.3555,-0.241,0.017194
J2531,-0.0103,0.3555,-0.241,0.007277
J4901,0.1332,0.3555,-0.241,0.009948
J2914,-0.041,0.3555,-0.241,0.010432
J9810,-0.0238,0.3555,-0.241,0.010177
J9613,0.126,0.3555,-0.241,0.011306
J2181,0.0614,0.3555,-0.241,0.006696
J7189,-0.0534,0.3555,-0.241,0.008101
J7230,0.0,0.3555,-0.241,0.0
J2593,0.003,0.3555,-0.241,0.007443
J6861,0.0363,0.3555,-0.241,0.009938
J4912,-0.0744,0.3555,-0.241,0.009936
J6457,-0.0199,0.3555,-0.241,0.005238
J7956,0.073,0.3555,-0.241,0.02401
J1963,0.2539,0.3555,-0.241,0.017327
J8393,-0.0122,0.3555,-0.241,0.00489
J6136,0.0166,0.3555,-0.241,0.00959
J6134,0.1034,0.3555,-0.241,0.008785
J3407,0.1518,0.3555,-0.241,0.0227
J4401,-0.0072,0.3555,-0.241,0.006355
J2433,0.0244,0.3555,-0.241,0.012648
J6412,0.0202,0.3555,-0.241,0.003557
J9003,0.0148,0.3555,-0.241,0.007674
J3612,0.0159,0.3555,-0.241,0.011318
J9042,0.0182,0.3555,-0.241,0.005805
J6013,0.2107,0.3555,-0.241,0.023048
J7177,0.039,0.3555,-0.241,0.023167
J6432,0.0276,0.3555,-0.241,0.016205
J7747,-0.0412,0.3555,-0.241,0.012603
J5703,0.0195,0.3555,-0.241,0.007005
J9948,0.0137,0.3555,-0.241,0.014978
J8173,0.049,0.3555,-0.241,0.006569
J5304,0.3039,0.3555,-0.241,0.033146
J9021,0.0491,0.3555,-0.241,0.006385
J3932,0.1837,0.3555,-0.241,0.017674
J9678,0.0431,0.3555,-0.241,0.00663
J7202,0.0248,0.3555,-0.241,0.011765
J7606,-0.0138,0.3555,-0.241,0.022269
J4044,-0.04,0.3555,-0.241,0.008669
J9007,-0.021,0.3555,-0.241,0.019906
J4927,0.0376,0.3555,-0.241,0.005192
J8473,0.0503,0.3555,-0.241,0.00861
J2768,0.0736,0.3555,-0.241,0.005166
J4680,-0.02,0.3555,-0.241,0.010233
J9024,-0.0192,0.3555,-0.241,0.006785
J7951,0.0325,0.3555,-0.241,0.006366
J5631,0.0643,0.3555,-0.241,0.016446
J9616,-0.0878,0.3555,-0.241,0.006776
J4922,-0.0397,0.3555,-0.241,0.00705
J9064,0.0139,0.3555,-0.241,0.017983
J6113,0.1031,0.3555,-0.241,0.011859
J8035,0.2064,0.3555,-0.241,0.011468
J3228,0.0479,0.3555,-0.241,0.010255
J4819,-0.1471,0.3555,-0.241,0.033925
J8012,0.0255,0.3555,-0.241,0.008805
J4676,0.0679,0.3555,-0.241,0.008853
J6302,0.1709,0.3555,-0.241,0.011107
J8113,-0.0407,0.3555,-0.241,0.012157
J4661,-0.033,0.3555,-0.241,0.006596
J9062,0.0627,0.3555,-0.241,0.008246
J4536,0.0562,0.3555,-0.241,0.011322
J7867,0.01,0.3555,-0.241,0.00337
J6371,0.0036,0.3555,-0.241,0.006726
J6383,0.0186,0.3555,-0.241,0.014584
